"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"2016","Opel Vectra 2.0 GLS
            Vectra 2.0 16V GLS","1998",270000,"Füme",17250,"14 Mayıs 2017"," Mersin Yenişehir","Opel Vectra 2.0 GLS",27.2440957,38.4626548
"2117","Fiat Uno 70 SX
            SON ŞANS BÜTÜN BAKIMLARI YAPILDI","1996",242000,"Kırmızı",13000,"14 Mayıs 2017","İstanbul Küçükçekmece","Fiat Uno 70 SX
    ",29.0227159,40.1794309
"2216","Nissan Micra 1.2 Match
            NİSSAN MİCRA 38 BİNDE 46.000 TL BU FIRSAT KAÇMAZ.!","2015",38000,"Beyaz",46000,"14 Mayıs 2017","İstanbul Avcılar","Nissan Micra 1.2 Mat",32.650351,39.9310354
"2316","Renault Clio 1.5 dCi Joy
            Sahibinden servis bakımlı orijinal garaj arabası / Acil Satılık","2013",119000,"Beyaz",41250,"14 Mayıs 2017"," Kocaeli Gebze","Renault Clio 1.5 dCi",34.4198243,37.0589669
"246","Ford Focus 1.6 TDCi Collection
            öğretmenden temiz focus","2011",80000,"Siyah",48250,"14 Mayıs 2017"," Adana Yüreğir","Ford Focus 1.6 TDCi ",28.9470422,41.0168639
"317","Opel Corsa 1.2 Twinport Essentia
            sahibinden çok temiz corsa","2012",40000,"Gri (Gümüş)",37000,"14 Mayıs 2017"," Elazığ Merkez","Opel Corsa 1.2 Twinp",26.9175344,41.361927
"417","Fiat Albea 1.2 EL
            Acil satlık klimalı ilk elden
                
                            
                            İlk Sahibi","2005",143000,"Bej",20250,"14 Mayıs 2017"," Erzurum Aziziye","Fiat Albea 1.2 EL
 ",36.1756161,36.584673
"516","Volkswagen Polo 1.4
            Temiz orjinal arac","2004",117900,"Beyaz",29900,"14 Mayıs 2017","Çanakkale Merkez","Volkswagen Polo 1.4",31.995408,36.544443
"717","Mazda 323 1.5 GLX
            Bakmadan Geçme","1999",261000,"Beyaz",19000,"14 Mayıs 2017"," Erzurum Aziziye","Mazda 323 1.5 GLX
 ",33.0563914,39.9124056
"817","Renault R 12 Toros
            91 TOROS SW","1991",170000,"Beyaz",10750,"14 Mayıs 2017","İzmir Gaziemir","Renault R 12 Toros
",28.6614809,41.0343177
"917","Peugeot 106 Quicksilver
            Sonnruflu kırmızı gtı görünümlü oiksilver
                
                            
                            İlk Sahibi","2000",220000,"Kırmızı",17500,"14 Mayıs 2017","İstanbul Beykoz","Peugeot 106 Quicksil",27.4188,38.4275
"1016","Opel Astra 1.6 CDX
            % 89,6 motor,Hasarsız,Değişensiz,Experli,Yeni Kış lastikli, Bakımları yeni yapıldı","1998",192000,"Beyaz",28200,"14 Mayıs 2017"," Eskişehir Tepebaşı","Opel Astra 1.6 CDX
",38.3654439,38.42502
"1117","Toyota Corolla 1.6 Premium
            2013 SONU ORJİNAL MULTIDRIVE/S TAM OTOMATİK
                
                            
                            İlk Sahibi","2013",34500,"Beyaz",76000,"14 Mayıs 2017","İstanbul Kadıköy","Toyota Corolla 1.6 P",29.1274334,41.0182327
"1217","Opel Vectra 1.6 Comfort
            ÖGRETMENDEN ORJINAL VECTRA","2004",167000,"Gri (Gümüş)",36250,"14 Mayıs 2017"," Afyonkarahisar Merkez","Opel Vectra 1.6 Comf",34.0641419,39.1235758
"1317","Renault R 12 Toros
            Toros Toros","1995",2e+05,"Beyaz",10500,"14 Mayıs 2017"," Kahramanmaraş Andırın","Renault R 12 Toros
",29.2901829,41.0287028
"1417","Volkswagen Bora 1.6 Comfortline
            Yol Arkadaşı","2000",146000,"Siyah",29000,"14 Mayıs 2017","İzmir Konak","Volkswagen Bora 1.6 ",38.2322028,37.7866427
"1517","Hyundai Getz 1.4 DOHC Start
            OGRETMENDEN KAZASİZ HASAR KAYİTSİZ DOCH MOTOR 100 000 KM","2011",1e+05,"Füme",30500,"14 Mayıs 2017"," Malatya Yeşilyurt","Hyundai Getz 1.4 DOH",32.831015,40.0210623
"1617","Renault Clio 1.5 dCi Fidji
            Sahibinden açıklamayı okuyun özel paket acil satlık","2004",120000,"Yeşil (metalik)",25000,"14 Mayıs 2017"," GaziantepŞahinbey","Renault Clio 1.5 dCi",29.1782018,41.1429436
"1817","Volvo S40 1.6 D Dynamic
            Türkiye'deki En Full Kasa","2011",93000,"Beyaz",73000,"14 Mayıs 2017","İstanbul Gaziosmanpaşa","Volvo S40 1.6 D Dyna",35.3186448,37.0204658
"1917","Opel Astra 1.3 CDTI Cosmo
            Hasar Kayıtsız, değişensiz, boyasız ORİJİNAL ASTRA","2008",144000,"Siyah",43500,"14 Mayıs 2017"," Eskişehir Odunpazarı","Opel Astra 1.3 CDTI ",39.3124988,37.7506386
"2017","Tofaş Kartal 5 Vites
            Temiz Kartal","1994",86000,"Kırmızı",10999,"14 Mayıs 2017"," Kocaeli Gebze","Tofaş Kartal 5 Vites",29.126347,36.659246
"2118","Hyundai i30 1.6 CRDi Style
            ACİL  SATILIK  2014  HYUNDAİ  İ30  (SON BİR HAFTA)","2014",143000,"Gri",50500,"14 Mayıs 2017"," Kayseri Kocasinan","Hyundai i30 1.6 CRDi",34.4863567,36.8661859
"2217","Volkswagen Golf 1.6 CL
            ACİLL SATILIK GOLF 3 (MK3) 1.6 OTOMATİK","1992",17000,"Gri",18000,"14 Mayıs 2017"," Ankara Keçiören","Volkswagen Golf 1.6 ",38.3654439,38.42502
"2317","Renault Clio 1.2 Joy
            SIFIR KOKUSU İÇİNDE","2014",36000,"Beyaz",34000,"14 Mayıs 2017"," Adana Seyhan","Renault Clio 1.2 Joy",32.9212265,39.8451842
"247","Fiat Linea 1.3 Multijet Pop
            ARACIMIZ TEMİZ VE BAKIMLI EVRAKLARI FULL SIFIR AYARINDADIR","2014",38000,"Beyaz",41000,"14 Mayıs 2017","Şanlıurfa Karaköprü","Fiat Linea 1.3 Multi",NA,NA
"318","Nissan Primera 1.6 Comfort
            NİSSAN PRİMERA 1.6 COMFORT AZ KULLANILMIŞ
                
                            
                            İlk Sahibi","2000",97000,"Gri",24000,"14 Mayıs 2017","İstanbulÜsküdar","Nissan Primera 1.6 C",36.470248,37.2522089
"418","Honda Civic 1.6 ES
            Honda civic 1.6","2004",215000,"Gri",36000,"14 Mayıs 2017"," Mersin Silifke","Honda Civic 1.6 ES
",35.4343604,36.9075903
"517","Lada Samara 1.5
            Sahibinden çok temiz lada samara","1992",84300,"Bej",9250,"14 Mayıs 2017"," Kocaeliİzmit","Lada Samara 1.5
   ",32.831015,40.0210623
"718","Fiat Palio 1.4 EL
            2001 Temiz Palio","2001",165000,"Füme",17750,"14 Mayıs 2017"," Ankara Pursaklar","Fiat Palio 1.4 EL
 ",37.2115829,36.9907413
"818","Renault Clio 1.4 Authentique
            Sahibinden Clio","2005",155000,"Gri",25000,"14 Mayıs 2017"," Eskişehir Odunpazarı","Renault Clio 1.4 Aut",27.2440957,38.4626548
"918","Opel Astra 1.6
            Temiz aile aracı biniciye","2000",185000,"Gri (Gümüş)",24250,"14 Mayıs 2017"," Denizli Merkezefendi","Opel Astra 1.6
    ",40.442398,40.928809
"1017","Ford Fusion 1.4 TDCi Comfort
            memurdan acil satılık bakımları tam","2005",171000,"Gri (metalik)",26500,"14 Mayıs 2017","Çanakkale Merkez","Ford Fusion 1.4 TDCi",26.303215,38.324311
"1118","Renault R 9 1.4 Broadway
            temiz bakımlı motoru yeni acill","1992",16000,"Bordo",8250,"14 Mayıs 2017","İstanbul Esenler","Renault R 9 1.4 Broa",32.650351,39.9310354
"1218","Renault Symbol 1.5 dCi Authentique
            Temiz Senbol Sahibinden
                
                            
                            İlk Sahibi","2011",215000,"Gri (Gümüş)",27000,"14 Mayıs 2017","İstanbul Avcılar","Renault Symbol 1.5 d",28.89614,40.990635
"1318","Ford Escort 1.6 CLX
            sorunsuz escort","1996",150000,"Yeşil",14750,"14 Mayıs 2017"," Adana Seyhan","Ford Escort 1.6 CLX",35.492816,38.388652
"1418","Opel Astra 1.3 CDTI ecoFLEX Sport
            Aracım Çok Temizdir","2013",69000,"Beyaz",65000,"14 Mayıs 2017","İstanbul Fatih","Opel Astra 1.3 CDTI ",36.5590413,40.3000971
"1518","Seat Toledo 1.4 TDI Style
            Sorunsuz Aile arabası az yakar çok kaçar","2016",31000,"Beyaz",69000,"14 Mayıs 2017"," Kocaeli Darıca","Seat Toledo 1.4 TDI ",28.7780987,41.0212376
"1618","Hyundai i20 Troy 1.4 CRDi Start
            SAHİBİNDEN 100.000' DE TERTEMİZ MASRAFSIZ AİLEYE GENCE BEKARA EVLİYE UYGUN İ20","2011",1e+05,"Gri (metalik)",33500,"14 Mayıs 2017","İstanbulÜmraniye","Hyundai i20 Troy 1.4",36.470248,37.2522089
"1818","Mazda 323 1.6 GLX
            Degısensız mazda","1994",290000,"Siyah",15000,"14 Mayıs 2017"," Balıkesir Bandırma","Mazda 323 1.6 GLX
 ",32.831015,40.0210623
"1918","Citroen C1 1.4 HDi SX
            Boyasız Yetkili Servis Bakımlı c1
                
                            
                            İlk Sahibi","2008",120000,"Beyaz",28000,"14 Mayıs 2017","İstanbul Kadıköy","Citroen C1 1.4 HDi S",31.848216,37.41926
"2018","Renault Clio 1.2 Expression
            Renault  sembol 1.2","2011",107000,"Gri",31000,"14 Mayıs 2017"," Mersin Silifke","Renault Clio 1.2 Exp",32.9212265,39.8451842
"2119","Ford Focus 1.6 Trend
            FORD FOCUS 2010 MODEL ORJİNAL HASAR KAYDI YOK","2010",160000,"Beyaz",34500,"14 Mayıs 2017"," Kilis Merkez","Ford Focus 1.6 Trend",38.7955149,37.1674039
"2218","Toyota Auris 1.4 D-4D Blue
            Sahibinden toyota dizel otomatik","2009",268750,"Gri (metalik)",34750,"14 Mayıs 2017","İstanbul Ataşehir","Toyota Auris 1.4 D-4",29.616418,40.691274
"2318","Tofaş Kartal S
            temiz kartal s","1995",1e+05,"Bordo",8500,"14 Mayıs 2017","İstanbul Beşiktaş","Tofaş Kartal S
    ",30.7133233,36.8968908
"248","Fiat Linea 1.3 Multijet Active Plus
            DEĞİŞENSİZ LINEA. 90LIK EN ÇOK TUTULAN MOTOR","2011",147555,"Gri (metalik)",29500,"14 Mayıs 2017","İzmir Torbalı","Fiat Linea 1.3 Multi",32.424074,39.8544476
"319","Hyundai Accent 1.3 LX Allegro
            Orjinal Hasar Kayıtsız Yeni Vizeli","2001",204000,"Sarı",19250,"14 Mayıs 2017"," Bolu Gerede","Hyundai Accent 1.3 L",42.281276,38.501998
"419","Volkswagen Golf 1.6 Comfortline
            EFSANE GOLF 4","2000",154000,"Gri (Gümüş)",30000,"14 Mayıs 2017"," Malatya Battalgazi","Volkswagen Golf 1.6 ",28.5564526,41.0534024
"518","Renault Clio 1.5 dCi SportTourer Icon
            ÖĞRETMENDEN,HATASIZ AİLE ARABASI","2013",50000,"Beyaz",56900,"14 Mayıs 2017"," Afyonkarahisar Merkez","Renault Clio 1.5 dCi",30.8509,41.0555
"719","Ford Focus 1.6 Ghia
            2008 GHİA HATASIZ-KAYITSIZ","2008",168000,"Mavi (metalik)",37000,"14 Mayıs 2017"," Ankara Keçiören","Ford Focus 1.6 Ghia",32.424074,39.8544476
"819","Renault Twingo 1.2 Pack
            Bakımlı Temiz Masrafsız TWİNGO","2000",210000,"Yeşil (metalik)",15000,"14 Mayıs 2017"," Bursa Nilüfer","Renault Twingo 1.2 P",27.70841,38.500161
"919","Tofaş Şahin 1.6
            ORJİNAL 1993 ŞAHİN 2018/2 AY MUANELİ
                
                            
                            İlk Sahibi","1993",0,"Bej",8500,"14 Mayıs 2017"," Kocaeli Darıca","Tofaş Şahin 1.6
   ",33.9750018,38.3352043
"1018","Ford Focus 1.6 TDCi Style
            SAHİBİNDEN HATASIZ BOYASIZ","2011",174000,"Kahverengi",56250,"14 Mayıs 2017"," AnkaraÇankaya","Ford Focus 1.6 TDCi ",37.977476,37.024993
"1119","Fiat Linea 1.3 Multijet Active Plus
            Orjinal Boyasız Kazasız Aile Aracı","2012",134000,"Beyaz",34500,"14 Mayıs 2017"," Giresun Merkez","Fiat Linea 1.3 Multi",32.314304,36.268562
"1219","Hyundai Elantra 1.6 D-CVVT Tune
            sahibinden temiz bakımlı elentraa","2013",89000,"Gri",54900,"14 Mayıs 2017"," Hatay Arsuz","Hyundai Elantra 1.6 ",37.086224,39.6896148
"1319","Volkswagen Golf 1.6 Comfortline
            FULL ORJİNAL Gollff","2001",186500,"Gri (Gümüş)",33000,"14 Mayıs 2017"," Adıyaman Merkez","Volkswagen Golf 1.6 ",27.4324654,38.6144012
"1419","Tofaş Doğan S
            Tertemiz Değişensiz Doğan","1994",70000,"Kırmızı",13750,"14 Mayıs 2017"," Ankara Mamak","Tofaş Doğan S
     ",30.601209,37.023026
"1519","Fiat Linea 1.4 Fire Active Plus
            Askeri Personelden Sıfır Kokulu Sıfır Araç 
                
                            
                            Yeni Gibi","2016",17000,"Beyaz",46000,"14 Mayıs 2017"," Kahramanmaraş Dulkadiroğlu","Fiat Linea 1.4 Fire ",29.7657663,40.8676124
"1619","Ford Focus 1.6 Titanium
            SIFIR AYARINDA DÜŞÜK KİLOMETRE FORD FOCUS","2010",24400,"Gri",49999,"14 Mayıs 2017"," Kocaeli Gölcük","Ford Focus 1.6 Titan",39.3124988,37.7506386
"1819","Hyundai Accent Era 1.4 Start
            Memurdan temiz era","2012",130000,"Gri (metalik)",34500,"14 Mayıs 2017"," Tokat Merkez","Hyundai Accent Era 1",37.2115829,36.9907413
"1919","Fiat Uno 70 S
            VİZESİ LPG TANKI YENİ BAKIMLARI YAPILMIŞ TEMİZ UNO","1995",430000,"Beyaz",11000,"14 Mayıs 2017","İzmir Karabağlar","Fiat Uno 70 S
     ",29.1623231,40.1787113
"2019","Renault Fluence 1.5 dCi Touch
            ORJİNAL SADECE 500 KMDE FLUENCE TOUCH 
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",500,"Siyah",68500,"14 Mayıs 2017","İstanbul Büyükçekmece","Renault Fluence 1.5 ",38.7955149,37.1674039
"2120","Renault Megane 1.6 Touch Plus
            TERTEMİZ Kaçmayacak araç","2015",93000,"Beyaz",41750,"14 Mayıs 2017"," Adana Seyhan","Renault Megane 1.6 T",32.681182,40.205167
"2219","Hyundai i30 1.6 CRDi Elite
            2016 ÇIKIŞLI - FULL+FULL ELİTE CRDİ DCT OTOMATİK 7 İLERİ
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2015",19500,"Beyaz",82000,"14 Mayıs 2017","İstanbul Ataşehir","Hyundai i30 1.6 CRDi",29.2204548,40.9184004
"2319","Daewoo Leganza 2.0 CDX
            çok temiz orjinal km.otomatik","2001",162000,"Siyah",18500,"14 Mayıs 2017"," GaziantepŞehitkamil","Daewoo Leganza 2.0 C",33.0563914,39.9124056
"249","Renault Fluence 1.5 dCi Icon
            ORJİNAL HATASİZ BOYASİZ EDC İCON FLUENCE","2016",39000,"Beyaz",72900,"14 Mayıs 2017","İstanbul Büyükçekmece","Renault Fluence 1.5 ",27.6434844,40.1116962
"320","Chevrolet Cruze 1.6 LS
            ORJINAL DERI DOSEMELI 130000 KM","2010",130000,"Siyah",37500,"14 Mayıs 2017"," AnkaraÇankaya","Chevrolet Cruze 1.6 ",41.1243068,37.8259651
"420","Opel Corsa 1.2 Essentia
            Sahibinden   opel  corsa","2007",82000,"Beyaz",28000,"14 Mayıs 2017"," Gaziantep Nizip","Opel Corsa 1.2 Essen",37.3827234,38.2522117
"519","Volkswagen Golf 1.6 CL
            1997 GOLF 3 1.6 CL OTOMATİK","1997",263687,"Mavi",19000,"14 Mayıs 2017"," Ankara Yenimahalle","Volkswagen Golf 1.6 ",41.1243068,37.8259651
"720","Volkswagen Jetta 1.4 TSi Exclusive
            TEMİZ SERVİS BAKIMLI FULL JETTA RAMPADA KALMA","2010",151000,"Mavi (metalik)",41250,"14 Mayıs 2017"," Bingöl Genç","Volkswagen Jetta 1.4",32.831015,40.0210623
"820","Tofaş Şahin S
            SAHİBİNDEN FULL ORJİNAL SATILIK 95 ŞAHİN S","1995",87500,"Kırmızı",11350,"14 Mayıs 2017"," Ankara Mamak","Tofaş Şahin S
     ",28.824722,41.0456474
"920","Tofaş Şahin 1.6
            Tofask Satisa Cikti Uygun Fiyat Bakmadan Gecme","1993",85000,"Diğer",5500,"14 Mayıs 2017"," Samsun Kavak","Tofaş Şahin 1.6
   ",29.0963328,37.7830159
"1019","Opel Astra 1.6 Sport
            Gümrük Çıkışlı Otomotik Alman 
                
                            
                            İlk Sahibi","1994",208000,"Lacivert",18000,"14 Mayıs 2017"," Ankara Gölbaşı","Opel Astra 1.6 Sport",27.6434844,40.1116962
"1120","Volkswagen Passat 1.6 TDi BlueMotion Comfortline
            Borcum var","2014",49000,"Beyaz",93500,"14 Mayıs 2017"," Mardin Nusaybin","Volkswagen Passat 1.",27.4324654,38.6144012
"1220","Renault Scenic 1.6 Privilege
            Otomatik Full +full Bu Fiyata Başka Yok","2006",245000,"Gri (Gümüş)",27500,"14 Mayıs 2017"," Bursa Osmangazi","Renault Scenic 1.6 P",42.4595399,37.519705
"1320","Tofaş Şahin 1.6
            Beyaz melek satıslarda...","1994",42400,"Beyaz",9800,"14 Mayıs 2017"," Afyonkarahisar Sandıklı","Tofaş Şahin 1.6
   ",30.4154737,40.8291144
"1420","Dacia Logan 1.5 dCi Ambiance MCV
            Bakımlı 1.5 DCİ Dizel Alıcısına şimdiden hayırlı olsun","2007",331111,"Gri",22000,"14 Mayıs 2017","Şanlıurfa Karaköprü","Dacia Logan 1.5 dCi ",32.424074,39.8544476
"1520","Fiat Tipo 1.4 SX ie
            Satılık 97 Tipo Sxie","1997",64000,"Mavi (metalik)",11900,"14 Mayıs 2017"," Kocaeli Gebze","Fiat Tipo 1.4 SX ie",32.424074,39.8544476
"1620","Toyota Corolla 1.6 Sol VVT-i
            SAĞLIKÇIDAN TOYOTA COROLLA","2003",146000,"Gri",28000,"14 Mayıs 2017","Şanlıurfa Haliliye","Toyota Corolla 1.6 S",28.7897558,41.1015173
"1820","Tofaş Doğan SLX
            96 Değişensiz Slx Hidrolik Klima Orjinal","1996",199999,"Mor",15000,"14 Mayıs 2017","İzmir Bergama","Tofaş Doğan SLX
   ",27.6434844,40.1116962
"1920","Opel Vectra 1.6 Elegance
            Sahibinden 2004 VECTRA ELEGANCE","2004",2e+05,"Gri (titanyum)",35500,"14 Mayıs 2017"," Denizli Merkezefendi","Opel Vectra 1.6 Eleg",27.2440957,38.4626548
"2020","Volkswagen Polo 1.4 Comfortline
            İLK SAHİBİNDEN TEMİZ GARAJ POLO'SU
                
                            
                            İlk Sahibi","2012",56000,"Siyah",51500,"14 Mayıs 2017"," AnkaraÇankaya","Volkswagen Polo 1.4 ",37.2115829,36.9907413
"2121","Peugeot 406 2.0 SV
            Çok temiz ihtiyaçtan satılık Pejo 406 Sv","2000",174000,"Beyaz",22500,"14 Mayıs 2017"," Ankara Keçiören","Peugeot 406 2.0 SV
",29.950926,40.6298368
"2220","Peugeot 407 1.6 HDi Premium
            2008 En dolusu Peugeot 407","2008",212000,"Gri",39000,"14 Mayıs 2017"," Kahramanmaraş Onikişubat","Peugeot 407 1.6 HDi ",41.488861,38.193758
"2320","Fiat 500 0.9 TwinAir Sport
            Tipo slx 1996 model klimali  05418771422
                
                            
                            Yeni Gibi","2017",190,"Kırmızı",16000,"14 Mayıs 2017"," Siirt Merkez","Fiat 500 0.9 TwinAir",36.3360667,41.2797031
"250","Toyota Corolla 1.6 XEi
            EFSANE TOYOTA COROLLA 1998 1.6","1998",175000,"Lacivert",25500,"14 Mayıs 2017","İstanbul Esenyurt","Toyota Corolla 1.6 X",44.282299,37.571716
"321","Fiat Tempra 1.6 SX
            ARACIM1992 MODEL SXA MODELİDİR HDİROLİK DİREKSİYON.","1992",2e+05,"Beyaz",12500,"14 Mayıs 2017"," Kırıkkale Merkez","Fiat Tempra 1.6 SX
",32.4920088,38.0160383
"421","Fiat Palio 1.3 Multijet Active
            ACİL SATILIK TEMİZ FİAT PALİO DİZEL","2005",218000,"Beyaz",17200,"14 Mayıs 2017","İstanbul Beylikdüzü","Fiat Palio 1.3 Multi",29.1274334,41.0182327
"520","Tofaş Kartal SLX
            1995 Kartal Slx","1995",180000,"Bordo",10250,"14 Mayıs 2017"," Trabzon Ortahisar","Tofaş Kartal SLX
  ",30.023216,40.753369
"721","Opel Astra 1.6 Twinport
            Sahibinden","2005",187000,"Şampanya",33000,"14 Mayıs 2017","İzmir Karşıyaka","Opel Astra 1.6 Twinp",33.0563914,39.9124056
"821","Fiat Palio 1.4 EL
            temiz palio","1999",199000,"Yeşil",13750,"14 Mayıs 2017"," Hatay Kırıkhan","Fiat Palio 1.4 EL
 ",35.3186448,37.0204658
"921","Volkswagen Passat 2.0 FSi Highline
            Arabamda 17 milyarlık hasar kaydı vardır  arabanın kaportası kusursuzdur yürüyeni on numaradır model yükseltmek amaçlı satılıl (ACİL)","2006",177,"Gri (Gümüş)",39500,"14 Mayıs 2017"," Bursa Osmangazi","Volkswagen Passat 2.",35.3186448,37.0204658
"1020","Fiat Albea 1.2 Dynamic
            Temiz Orijinal Albea Dinamik","2005",110000,"Mavi",25500,"14 Mayıs 2017"," Elazığ Keban","Fiat Albea 1.2 Dynam",29.3831026,40.8361421
